City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Nome,US,64.5011,-165.4064,31.15,100,100,9.22,light snow
283,Lasem,ID,-6.6922,111.4527,78.19,91,88,5.41,overcast clouds
284,Caravelas,BR,-17.7125,-39.2481,77.14,79,0,5.41,clear sky
285,Weyburn,CA,49.6668,-103.8511,77.22,12,100,3.44,overcast clouds
286,Puro,PH,12.4841,123.3827,79.11,84,100,12.93,overcast clouds
287,Erzin,TR,36.9559,36.2,64.06,35,0,4.0,clear sky
288,Pisco,PE,-13.7,-76.2167,75.25,64,0,18.41,clear sky
289,Kalengwa,ZM,-13.4659,25.0027,59.4,64,0,4.12,clear sky
290,Inhambane,MZ,-23.865,35.3833,70.05,79,0,7.07,clear sky
291,Muisne,EC,0.6,-80.0333,83.35,77,71,9.13,light rain
292,Constitucion,CL,-35.3333,-72.4167,60.71,55,0,14.29,clear sky
293,Snasa,NO,64.2457,12.3778,33.21,88,26,4.03,scattered clouds
294,Irbeyskoye,RU,55.6428,95.4522,28.35,90,18,2.68,few clouds
295,Seredka,RU,58.1584,28.1858,38.95,87,85,5.08,overcast clouds
296,Yaan,NG,7.3833,8.5667,83.75,62,91,4.85,light rain
297,Bredasdorp,ZA,-34.5322,20.0403,55.38,90,0,1.3,clear sky
298,Lavrentiya,RU,65.5833,-171.0,22.23,75,95,5.75,overcast clouds
299,Baie-Comeau,CA,49.2168,-68.1489,44.02,65,100,14.85,overcast clouds
300,Simga,IN,21.6333,81.7,81.55,51,8,3.85,clear sky
301,Mumford,GH,5.2618,-0.759,82.18,79,14,11.45,few clouds
302,Khatanga,RU,71.9667,102.5,29.14,93,100,26.91,light snow
303,Belawan,ID,3.7755,98.6832,79.09,94,100,5.77,overcast clouds
304,Saint-Augustin,CA,51.226,-58.6502,46.38,78,100,15.5,overcast clouds
305,Fortuna,US,40.5982,-124.1573,61.93,72,16,5.99,few clouds
306,Januaria,BR,-15.4833,-44.3667,85.69,37,25,3.13,scattered clouds
307,Bathsheba,BB,13.2167,-59.5167,84.81,74,20,10.36,few clouds
308,Airai,TL,-8.9266,125.4092,58.96,92,87,3.33,overcast clouds
309,Lonavale,IN,18.75,73.4167,71.82,77,86,2.84,overcast clouds
310,Half Moon Bay,US,37.4636,-122.4286,60.22,80,20,11.5,light rain
311,Tual,ID,-5.6667,132.75,82.98,78,60,12.15,broken clouds
